Time(day),Surface Gas Rate(ft3/day)
1.00E-06,3833259008
2.03E-06,3514177024
4.57E-06,3111061248
9.44E-06,2690912000
1.82E-05,2266635776
3.30E-05,1843188736
5.48E-05,1448801152
8.29E-05,1112883456
0.000121827,817007168
0.000179092,562122880
0.000269133,355851136
0.000424694,205181232
0.000737281,111225520
0.001518747,66989764
0.003472414,54442384
0.008356581,49896128
0.020567,43371944
0.037668217,36642852
0.061718244,30037374
0.097404242,23706998
0.15446569,17923064
0.256112188,13073986
0.472437918,9399271
0.838138104,7113360
1,6244508
1.534042954,5318954
2.525127888,4186205
4.30007267,3213306.5
7.978966713,2418169.5
10,2057087.25
15.4081583,1741386.75
20,1505287.75
31,1252803.375
41,1066286.875
51,946600.875
60,864165.8125
70.6868515,795397.1875
74,762807.25
91,705307.8125
105,650830.8125
121,606395.1875
147.7171173,555376.0625
152,534260.5
182,500489.0313
213,463065.0313
244,432614.1563
274,408320.2813
305,387736.7813
335,370362.3125
366,355124.0938
432.7928162,332780.1875
599.7748413,294812.7813
731,265627.2188
1096,230114.2969
1461,201174.5938
1827,181870.0781
2192,168048.7969
2557,157468.9375
2922,149045.6406
3288,142128.7656
3653,136334.6094
4018,131391.4531
4383,127108.1875
4749,123344.1641
5114,120005.2734
5479,117024.4141
5844,114340.4453
6210,111901.4688
6575,109677.7109
6940,107638.5313
7305,105758.2734
7671,104013.7969
8036,102393.6719
8401,100883.0859
8766,99469.04688
9132,98138.86719
9497,96887.75
9862,95707.46875
10227,94590.57031
10593,93529.23438
10958,92521.53906
