FILE:,CMG_base50mdft.irf,,
Well:,Well-1,,
,,,
,,,Y1
,TIME,DATE,Gas Rate SC
,(day),,(ft3/day)
,1.00E-06,36526,22695584
,3.50E-06,36526,22408552
,1.10E-05,36526,21898948
,3.35E-05,36526,21113242
,0.000101,36526,19930592
,0.0003035,36526,18257766
,0.000769143,36526,16416309
,0.001743267,36526,14696731
,0.003900278,36526,13239458
,0.009292806,36526,12112555
,0.022774125,36526,11173209
,0.054272741,36526,10032929
,0.101682879,36526,8894700
,0.180092737,36526,7722734.5
,0.323223472,36526,6547027.5
,0.60237968,36526,5423417.5
,1,36527,4557637.5
,1.514636874,36527,3893086.75
,2.577064276,36528,3184473.75
,4.444233894,36530,2553091.75
,7.900278568,36533,2020423.25
,10,36536,1772539.125
,15.71138668,36541,1488945.75
,20,36546,1312325.375
,31,36557,1099507.875
,41,36567,950068.75
,51,36577,848688.5
,60,36586,778556.8125
,71.11590576,36597,717177.125
,74,36600,692332.8125
,91,36617,639294.625
,105,36631,592798.875
,121,36647,553343.1875
,148.7897644,36674,506325.1875
,152,36678,490744.75
,182,36708,458862.25
,213,36739,425651.75
,244,36770,398363.375
,274,36800,376488.6563
,305,36831,357877.5313
,335,36861,342181.25
,366,36892,328361.1875
,435.4744263,36961,307255.4375
,609.1605225,37135,271766.375
,731,37257,246684.2656
,1096,37622,214378.9063
,1461,37987,188205.2969
,1827,38353,170495.7656
,2192,38718,157801.5625
,2557,39083,148086.5781
,2922,39448,140347.25
,3288,39814,133990.3906
,3653,40179,128664.6719
,4018,40544,124120.1172
,4383,40909,120181.6094
,4749,41275,116719.8047
,5114,41640,113653.9453
,5479,42005,110913.3516
,5844,42370,108442.7578
,6210,42736,106196.1719
,6575,43101,104146.9219
,6940,43466,102266.8516
,7305,43831,100532.4922
,7671,44197,98922.5
,8036,44562,97426.42188
,8401,44927,96030.52344
,8766,45292,94722.88281
,9132,45658,93491.78906
,9497,46023,92332.85938
,9862,46388,91238.46875
,10227,46753,90201.78906
,10593,47119,89215.57031
,10958,47484,88278.10938
