Unpropped Fracture,,,,,,,,Propped Fracture,,,,,
Stiff,,Median,,Soft,,,,Stiff,,Median,,Soft,
X,Y,X,Y,X,Y,,,X,Y,X,Y,X,Y
298.1651376,1,298.1651376,1,293.5912971,1.010076196,,,500,1.022136075,500,0.978343319,500,0.95715565
494.5606583,0.5264235,1001.537929,0.100670623,1001.537929,0.100670623,,,1001.632449,0.61774358,1001.632449,0.591276758,1001.632449,0.553687424
800.3288904,0.161267617,1999.141157,0.016563732,1994.3809,0.014539666,,,2028.645306,0.45465944,2028.645306,0.334629469,2028.645306,0.257311732
997.1238732,0.114684977,3002.569873,0.006923861,2997.343577,0.004279074,,,3030.43663,0.306569763,3030.43663,0.158952671,3030.43663,0.082415014
1500.858843,0.060372867,4002.516611,0.006651687,4000.958709,0.002058249,,,4007.602207,0.263007604,4007.602207,0.080630179,4007.602207,0.009641667
2000.23302,0.037687505,,,,,,,5009.631845,0.202238441,5009.631845,0.035088629,5009.631845,0.001056262
2999.221049,0.017590696,,,,,,,5986.519389,0.148847546,5986.519389,0.011741689,5986.519389,0.000218345
4002.822865,0.008376776,,,,,,,6988.668184,0.122225897,6988.668184,0.005456643,6988.668184,5.37757E-05
,,,,,,,,8041.02173,0.104858157,8041.02173,0.002272882,8041.02173,1.47765E-05
,,,,,,,,9043.170525,0.086104088,9043.170525,0.000886548,9043.170525,5.16599E-06
,,,,,,,,10000,0.077175631,10000,0.000369278,10000,2.34877E-06
